Source: https://www.usopen.org/en_US/scores/draws/2026_MS_draw.pdf
Retrieved: 2026-09-03 (America/New_York)
First-round draw positions only; no match results.
1. ZVEREV, Alexander GER [1]
2. SONEGO, Lorenzo ITA
3. HALYS, Quentin FRA
4. DIAZ ACOSTA, Facundo ARG
5. DIMITROV, Grigor BUL (Q)
6. POPYRIN, Alexei AUS
7. HANFMANN, Yannick GER
8. TABILO, Alejandro CHI [25]
9. DARDERI, Luciano ITA [21]
10. WENDELKEN, Harry GBR (Q)
11. SVRCINA, Dalibor CZE (Q)
12. ROYER, Valentin FRA
13. SWEENY, Dane AUS (W)
14. MOUTET, Corentin FRA
15. FERY, Arthur GBR
16. MUSETTI, Lorenzo ITA [13]
17. JODAR, Rafael ESP [12]
18. BU, Yunchaokete CHN (L)
19. MAROZSAN, Fabian HUN
20. ZHENG, Michael USA (W)
21. SVAJDA, Zachary USA
22. ALTMAIER, Daniel GER
23. CERUNDOLO, Juan Manuel ARG
24. GEA, Arthur FRA (L)
25. BERGS, Zizou BEL [31]
26. TABERNER, Carlos ESP
27. DE JONG, Jesper NED
28. PASSARO, Francesco ITA (Q)
29. CHOINSKI, Jan GBR
30. VAN DE ZANDSCHULP, Botic NED
31. GUERRIERI, Andrea ITA (Q)
32. DE MINAUR, Alex AUS [6]
33. AUGER-ALIASSIME, Felix CAN [3]
34. HIJIKATA, Rinky AUS
35. BURRUCHAGA, Roman Andres ARG
36. KHACHANOV, Karen
37. MOLCAN, Alex SVK
38. BONZI, Benjamin FRA
39. GIRON, Marcos USA
40. BUSE, Ignacio PER [32]
41. MENSIK, Jakub CZE [17]
42. MOCHIZUKI, Shintaro JPN (L)
43. RODIONOV, Jurij AUT (Q)
44. MPETSHI PERRICARD, Giovanni FRA
45. VALLEJO, Adolfo Daniel PAR
46. MONFILS, Gael FRA (W)
47. BORGES, Nuno POR
48. TIEN, Learner USA [14]
49. FRITZ, Taylor USA [9]
50. BLANCH, Darwin USA (W)
51. BELLUCCI, Mattia ITA
52. PIROS, Zsombor HUN (Q)
53. UGO CARABELLI, Camilo ARG
54. STRUFF, Jan-Lennard GER
55. MISOLIC, Filip AUT
56. CERUNDOLO, Francisco ARG [24]
57. BLOCKX, Alexander BEL [28]
58. BARRIOS VERA, Tomas CHI (Q)
59. SHANG, Juncheng CHN
60. TRUNGELLITI, Marco ARG
61. BASAVAREDDY, Nishesh USA (Q)
62. SCHOOLKATE, Tristan AUS (Q)
63. COMESANA, Francisco ARG
64. COBOLLI, Flavio ITA [5]
65. MEDVEDEV, Daniil [7]
66. GASTON, Hugo FRA (Q)
67. GORZNY, Sebastian USA (W)
68. COLLIGNON, Raphael BEL
69. MUNAR, Jaume ESP
70. ATMANE, Terence FRA
71. SHIMABUKURO, Sho JPN
72. RINDERKNECH, Arthur FRA [26]
73. VACHEROT, Valentin MON [22]
74. KOVACEVIC, Aleksandar USA
75. MAJCHRZAK, Kamil POL
76. MEDJEDOVIC, Hamad SRB
77. VUKIC, Aleksandar AUS
78. SAKAMOTO, Rei JPN (Q)
79. DAMM, Martin USA
80. TIAFOE, Frances USA [11]
81. NAKASHIMA, Brandon USA [16]
82. BAEZ, Sebastian ARG
83. MICHELSEN, Alex USA
84. CINA, Federico ITA (Q)
85. MERIDA, Daniel ESP
86. FUCSOVICS, Marton HUN
87. VIRTANEN, Otto FIN (L)
88. RUBLEV, Andrey [23]
89. ETCHEVERRY, Tomas Martin ARG [27]
90. KOPRIVA, Vit CZE
91. LANDALUCE, Martin ESP
92. FEARNLEY, Jacob GBR (L)
93. BERRETTINI, Matteo ITA
94. WAWRINKA, Stan SUI (W)
95. NAVONE, Mariano ARG
96. DJOKOVIC, Novak SRB [4]
97. SHELTON, Ben USA [8]
98. GRIEKSPOOR, Tallon NED
99. DZUMHUR, Damir BIH
100. HURKACZ, Hubert POL
101. KECMANOVIC, Miomir SRB
102. SHAPOVALOV, Denis CAN
103. VAN ASSCHE, Luca FRA
104. NORRIE, Cameron GBR [29]
105. LEHECKA, Jiri CZE [18]
106. CARRENO BUSTA, Pablo ESP
107. SAMUEL, Toby GBR (Q)
108. MACHAC, Tomas CZE
109. HARRIS, Lloyd RSA (Q)
110. KENNEDY, Jack USA (W)
111. TSITSIPAS, Stefanos GRE
112. FILS, Arthur FRA [10]
113. BUBLIK, Alexander KAZ [15]
114. WOLF, J.J. USA (W)
115. TIRANTE, Thiago Agustin ARG
116. MANNARINO, Adrian FRA
117. PRIZMIC, Dino CRO
118. SHEVCHENKO, Aleksandr KAZ
119. WONG, Coleman HKG (Q)
120. PAUL, Tommy USA [20]
121. ARNALDI, Matteo ITA [30]
122. DUCKWORTH, James AUS
123. WU, Yibing CHN
124. WALTON, Adam AUS
125. FARIA, Jaime POR
126. BROOKSBY, Jenson USA
127. SAFIULLIN, Roman
128. ALCARAZ, Carlos ESP [2]
