Source: https://www.usopen.org/en_US/scores/draws/2026_WS_draw.pdf
Retrieved: 2026-08-29 (America/New_York)
First-round draw positions only; no match results.
1. SABALENKA, Aryna [1]
2. OSORIO, Camila COL
3. ZARAZUA, Renata MEX
4. IATCENKO, Polina (Q)
5. ITO, Aoi JPN
6. SELEKHMETEVA, Oksana ESP
7. RAKHIMOVA, Kamilla UZB
8. KREJCIKOVA, Barbora CZE [27]
9. CHWALINSKA, Maja POL [20]
10. TOWNSEND, Taylor USA
11. PRESTON, Taylah AUS (W)
12. PARKS, Alycia USA
13. VANDEWINKEL, Hanne BEL
14. PLISKOVA, Karolina CZE
15. SNIGUR, Daria UKR
16. SHNAIDER, Diana [15]
17. KOSTYUK, Marta UKR [11]
18. HUNTER, Storm AUS (Q)
19. STEPHENS, Sloane USA (W)
20. TAUSON, Clara DEN
21. BIRRELL, Kimberly AUS
22. MARCINKO, Petra CRO
23. KESSLER, McCartney USA
24. ALEXANDROVA, Ekaterina [18]
25. LI, Ann USA [29]
26. RUZIC, Antonia CRO
27. GIBSON, Talia AUS
28. VEKIC, Donna CRO
29. KALIEVA, Elvina USA (Q)
30. TARARUDEE, Lanlana THA
31. VOLYNETS, Katie USA
32. NOSKOVA, Linda CZE [6]
33. PEGULA, Jessica USA [3]
34. RUSE, Elena-Gabriela ROU
35. WILLIAMS, Venus USA (W)
36. KENIN, Sofia USA (W)
37. SAWANGKAEW, Mananchaya THA
38. UDVARDY, Panna HUN
39. ZHANG, Shuai CHN
40. FERNANDEZ, Leylah CAN [31]
41. PAOLINI, Jasmine ITA [19]
42. ERJAVEC, Veronika SLO
43. STEFANINI, Lucrezia ITA (Q)
44. YASTREMSKA, Dayana UKR
45. GOLUBIC, Viktorija SUI
46. PARRY, Diane FRA
47. GRABHER, Julia AUT
48. CIRSTEA, Sorana ROU [16]
49. SVITOLINA, Elina UKR [9]
50. SIERRA, Solana ARG
51. JOINT, Maya AUS
52. SAMSONOVA, Liudmila
53. ARANGO, Emiliana COL
54. WANG, Xinyu CHN
55. BLINKOVA, Anna
56. KALINSKAYA, Anna [21]
57. NAVARRO, Emma USA [26]
58. BOISSON, Lois FRA
59. KOEVERMANS, Anouk NED (Q)
60. MCNALLY, Caty USA
61. LEE, Carol Young Suh USA (W)
62. BOULTER, Katie GBR
63. KRAUS, Sinja AUT
64. MUCHOVA, Karolina CZE [7]
65. ANDREEVA, Mirra [5]
66. TJEN, Janice INA
67. KNUTSON, Gabriela CZE (Q)
68. LYS, Eva GER
69. BARTUNKOVA, Nikola CZE
70. SHERIF, Mayar EGY
71. MARIA, Tatjana GER
72. OSTAPENKO, Jelena LAT [30]
73. POTAPOVA, Anastasia AUT [24]
74. VALENTOVA, Tereza CZE
75. RUS, Arantxa NED (Q)
76. JEANJEAN, Leolia FRA (W)
77. TAGGER, Lilli AUT
78. KORPATSCH, Tamara GER
79. KRUEGER, Ashlyn USA
80. ANISIMOVA, Amanda USA [10]
81. JOVIC, Iva USA [14]
82. FRECH, Magdalena POL
83. LINETTE, Magda POL
84. JONES, Francesca GBR (Q)
85. OLIYNYKOVA, Oleksandra UKR
86. BRANTMEIER, Reese USA (W)
87. STOIANA, Mary USA (Q)
88. EALA, Alexandra PHI [17]
89. BEJLEK, Sara CZE [28]
90. BUCSA, Cristina ESP
91. KALININA, Anhelina UKR
92. SAKATSUME, Himeno JPN (Q)
93. KASATKINA, Daria AUS
94. BADOSA, Paula ESP
95. SONMEZ, Zeynep TUR
96. GAUFF, Coco USA [4]
97. SWIATEK, Iga POL [8]
98. WANG, Xiyu CHN
99. PODOROSKA, Nadia ARG
100. WALTERT, Simona SUI
101. DART, Harriet GBR (Q)
102. STEARNS, Peyton USA
103. JACQUEMOT, Elsa FRA
104. BOUZKOVA, Marie CZE [25]
105. KEYS, Madison USA [22]
106. KORNEEVA, Alina
107. HAVLICKOVA, Lucie CZE (Q)
108. BONDAR, Anna HUN
109. ZHENG, Qinwen CHN (Q)
110. LIUTOVA, Kristina (Q)
111. PUTINTSEVA, Yulia KAZ
112. BENCIC, Belinda SUI [12]
113. OSAKA, Naomi JPN [13]
114. ZAKHAROVA, Anastasia
115. COCCIARETTO, Elisabetta ITA
116. SINIAKOVA, Katerina CZE
117. ZIDANSEK, Tamara SLO (Q)
118. TIMOFEEVA, Maria UZB
119. QUEVEDO, Kaitlin ESP
120. MERTENS, Elise BEL [23]
121. SAKKARI, Maria GRE [32]
122. MONTGOMERY, Robin USA (Q)
123. STARODUBTSEVA, Yuliia UKR
124. SEIDEL, Ella GER
125. VIDMANOVA, Darja CZE
126. BOUZAS MANEIRO, Jessica ESP
127. FRODIN, Thea USA (W)
128. RYBAKINA, Elena KAZ [2]
